idinspection,inspector_name,fruit,inspection_date,container,exporter,importer,vessel,arrival_date,o2_level_percent,co2_level_percent,pulp_temp_c,atmosphere,etd,int_pallet_nr,pallet_number,caliber,box_net_weight_g,grower,grw_boxes_per_pallet,total_boxes_per_pallet,packing_date,peduncular_mold,decay,soft,dehydrated,cold_damage,bruises,open_injury,scissor_damage,russet_greater_than_4_cm,insect_damage,sunburn,deformed,inspected_boxes
579,Sarah,MANDARINS,2017-01-05,MSCU221156-5,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.4,7.1,4.8,XTENDFRESH,2016-12-16,579,5480468502,14,10297,LAS ROSAS,120,120,2016-12-12,0,1,0,2,0,1,1,0,1,0,0,1,2
580,Jost,AVO 4K,2017-01-05,BMOU963885-2,SJ EXPORT,AVOPRIME,MSC CHLOE,2017-01-05,3.8,7.9,,STARCOOL,2016-12-09,580,5480468117,5,10336,TRES MONTES,300,300,2016-12-01,1,0,0,0,2,0,1,3,2,0,0,2,2
581,Lucas,AVOCADOS,2017-01-05,MSCU267656-1,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2019-02-22,3.7,7.5,5.4,STARCOOL,2016-12-16,581,5480462086,12,10365,LP,120,120,2016-12-12,0,1,0,0,0,0,0,0,1,0,0,0,2
582,Sarah,MANDARINS,2017-01-05,BMOU963885-2,BIO CITRICS,MKVTRB,MSC CHLOE,2019-01-19,3.9,7.1,,STARCOOL,2016-12-08,582,5480468117,18,10135,TRES MONTES,120,120,2017-12-02,0,0,0,0,0,0,0,0,3,0,0,0,2
583,Muayad,MANDARINS,2017-01-05,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2018-01-16,4.3,7.0,5.4,STARCOOL,2017-12-23,583,5480468503,20,10017,SAN CARLOS,120,120,2017-12-10,0,0,0,0,0,0,0,3,6,0,0,0,4
584,Arjun,MANDARINS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,EUROCITRICS,MSC CHLOE,2017-01-09,4.0,8.0,6.2,XTENDFRESH,2016-12-08,584,5480468117,4,9967,SAN CARLOS,120,120,2019-01-16,0,0,0,0,0,0,1,0,1,0,0,2,2
585,Emily,AVO 4K,2017-01-05,SUDU962715-3,BIO CITRICS,MKVTRB,MSC ANZU,2017-01-10,4.2,6.3,4.8,STARCOOL,2016-12-08,585,5480468503,14,10636,RCQ,300,300,2016-11-23,0,0,0,0,0,0,0,3,3,0,0,0,1
586,Arjun,AVOCADOS,2017-01-05,HLBU 907075-0,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-12-29,3.9,7.4,6.2,STARCOOL,2016-12-16,586,5480488423,5,10248,SAN CARLOS,120,120,2018-12-13,0,0,0,0,0,0,0,0,2,0,0,3,2
587,Arjun,AVO 4K,2017-01-05,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-09,8.6,7.8,4.6,STARCOOL,2016-12-16,587,5480467777,5,10594,LAS ROSAS,300,300,2016-11-24,0,0,0,0,0,0,2,0,1,0,0,2,4
588,Muayad,AVOCADOS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,AVOPRIME,CMA CGM NIAGARA,2017-01-12,4.6,8.8,6.2,XTENDFRESH,2016-12-16,588,5480468503,1-xx,9951,SAN CARLOS,120,120,2016-12-12,1,0,0,0,0,0,1,0,3,0,0,0,2
589,Arjun,MANDARINS,2017-01-05,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2018-01-19,3.9,,4.6,STARCOOL,2017-12-25,589,F543123,18,10140,AAA,120,120,2016-12-12,0,0,0,1,0,0,1,0,1,0,0,0,2
590,Jost,AVOCADOS,2017-01-05,BMOU 963267-0,SOUTH CITRICS EXPORT,MKVTRB,MSC ASDA,2018-01-16,4.4,7.5,4.8,STARCOOL,2016-12-16,590,5480475292,18,10224,SAN CARLOS,120,120,2016-12-07,0,0,1,1,2,1,1,0,4,0,1,2,2
591,Emily,MANDARINS,2017-01-05,BMOU 961339-2,CITRICS CL,EUROCITRICS,SAN CLEMENTE,2017-01-10,4.3,8.8,5.5,STARCOOL,2016-12-16,591,5480467773,9,9951,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,1,1,0,5,0,0,0,2
592,Lucas,MANDARINS,2017-01-05,SUDU931036-7,SOUTH CITRICS EXPORT,MMS,MSC CARIBEAN,2017-01-10,4.2,8.0,6.2,STARCOOL,2016-12-09,592,5480474907,18,10571,AGRICOLA AA,120,120,2016-11-30,0,0,0,0,0,0,1,0,1,0,0,0,2
593,Sarah,MANDARINS,2017-01-05,SUDU931477-9,BIO CITRICS,FRUITS EXOTICS,SANTA JULIA,2017-01-10,3.8,7.6,4.4,XTENDFRESH,2017-12-23,593,5480469108,1-xxx,10534,SAN CARLOS,120,120,2016-11-30,0,0,1,0,0,0,1,0,3,1,0,0,1
594,Jost,AVOCADOS,2017-01-05,BMOU960422-0,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-01-12,4.6,7.4,6.2,STARCOOL,2016-12-09,594,F544133,18,9951,RCQ,120,120,2016-12-12,0,1,0,0,2,1,1,0,2,0,0,2,2
595,Arjun,MANDARINS,2017-01-05,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-29,3.9,,5.1,STARCOOL,2017-12-26,595,5480475284,14,10074,SAN CARLOS,120,120,2016-11-30,1,0,0,0,1,1,1,0,0,0,0,0,2
596,Arjun,MANDARINS,2017-01-05,BMOU963865-1,AGRICOLA SUR SA,AVOPRIME,MSC CHLOE,2018-01-19,4.4,8.8,4.8,XTENDFRESH,2016-12-09,596,F544133,18,10288,SAN CARLOS,120,120,2016-12-07,0,0,0,1,0,0,0,0,3,1,0,1,2
597,Sarah,MANDARINS,2017-01-05,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,3.8,,5.0,STARCOOL,2016-12-16,597,5480468117,20,10499,SAN CARLOS,120,120,2017-12-15,0,0,0,0,0,0,1,0,6,0,0,1,2
598,Sarah,MANDARINS,2017-01-05,MSCU267656-1,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ASDA,2017-01-17,3.8,7.1,5.5,STARCOOL,2016-12-08,598,5480468502,18,10442,TRES MONTES,120,120,2016-11-30,0,0,0,0,0,0,0,0,1,0,0,0,2
599,Arjun,AVO 4K,2017-01-05,BMOU960422-0,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ARTIC,2018-01-19,8.6,8.0,5.1,STARCOOL,2017-12-23,599,5480468117,18,10226,SAN CARLOS,300,300,2016-12-12,0,0,0,0,2,0,0,0,1,0,0,2,2
600,Arjun,AVOCADOS,2017-01-05,BMOU963885-2,SJ EXPORT,MKVTRB,MSC ANZU,2017-01-05,3.9,7.0,5.1,STARCOOL,2016-12-08,600,5480469119,5,9951,SAN CARLOS,120,120,2017-12-26,0,1,0,0,0,0,0,0,3,0,0,1,2
601,Emily,MANDARINS,2017-01-05,MSCU267656-1,CITRICS CL,MKVTRB,MSC ATHENS,2017-01-10,3.8,6.3,5.0,STARCOOL,2016-12-08,601,F542622,26,10865,SAN CARLOS,120,120,2017-12-02,0,0,1,0,0,0,0,0,3,0,0,1,2
602,Sarah,AVOCADOS,2017-01-05,SUDU396415-5,SJ EXPORT,FRUITS EXOTICS,SANTA CATALINA,2018-01-19,4.4,7.6,6.2,XTENDFRESH,2017-12-22,602,27459,18,9951,TRES MONTES,120,120,2017-12-26,0,0,1,0,0,0,1,0,3,0,0,1,2
603,Sarah,MANDARINS,2017-01-05,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-10,3.8,6.3,4.4,STARCOOL,2016-12-09,603,5480475304,14,10105,TRES MONTES,120,120,2016-12-12,0,0,0,0,0,1,0,0,3,1,0,0,2
604,Arjun,MANDARINS,2017-01-05,BMOU963885-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-09,4.1,8.8,5.1,STARCOOL,2016-12-16,604,5480467776,16,9951,LAS ROSAS,120,120,2016-12-12,0,0,0,0,0,0,0,0,3,0,0,0,2
605,Emily,MANDARINS,2017-01-05,SUDU962715-3,SJ EXPORT,EUROCITRICS,MSC ATHENS,2017-12-29,4.3,6.3,5.5,XTENDFRESH,2016-12-09,605,5480488119,1-xx,9951,SAN CARLOS,120,120,2016-12-12,0,0,0,0,0,0,0,0,0,0,0,0,2
606,Lucas,MANDARINS,2017-01-05,BMOU963885-2,SJ EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-01-12,3.9,8.1,5.0,STARCOOL,2016-12-16,606,5480475304,1-xx,10415,SAN CARLOS,120,120,2017-12-13,0,0,0,0,0,0,0,0,3,0,1,0,4
607,Sarah,AVOCADOS,2017-01-05,BMOU963885-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-05,4.0,6.3,5.1,STARCOOL,2016-12-01,607,5480475300,1-xx,9951,SAN CARLOS,120,120,2016-12-13,0,0,0,1,2,0,0,2,6,0,0,0,4
608,Sarah,AVOCADOS,2017-01-05,SUDU931477-9,AGRICOLA SUR SA,MKVTRB,SAN CLEMENTE,2017-01-10,4.4,8.0,4.8,,2016-12-16,608,5480489019,1-xxx,10510,SAN CARLOS,120,120,2018-12-13,0,0,0,0,2,0,1,0,1,0,0,1,2
609,Sarah,MANDARINS,2017-01-05,BMOU 963197-1,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,4.0,7.0,6.2,,2016-12-01,609,5480465748,1-xx,9951,TRES MONTES,120,120,2016-12-06,0,0,0,0,0,0,1,2,2,0,0,0,2
610,Arjun,AVOCADOS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ATHENS,2017-01-10,3.9,6.3,4.8,STARCOOL,2016-12-16,610,5480475303,12,10865,LP,120,120,2016-12-13,0,0,1,0,0,0,1,0,2,0,0,1,2
611,Jost,MANDARINS,2017-01-05,HLBU 907075-0,AGRICOLA SUR SA,FRUITS EXOTICS,SANTA CLARA,2018-01-19,3.8,7.9,,STARCOOL,2016-12-16,611,5480468117,18,9951,RCQ,120,120,2016-12-07,0,0,0,0,0,0,0,0,2,0,0,0,2
612,Sarah,AVOCADOS,2017-01-05,SUDU962715-3,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.0,7.1,5.5,STARCOOL,2019-01-26,612,5480475585,22,10203,FRA,120,120,2016-12-07,0,0,0,0,0,0,1,0,2,0,0,0,2
613,Arjun,AVOCADOS,2017-01-05,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,3.8,8.8,,XTENDFRESH,2016-12-16,613,5480467950,18,9951,TRES MONTES,120,120,2016-11-24,0,0,0,0,0,0,1,0,1,0,0,0,2
614,Sarah,AVOCADOS,2017-01-05,BMOU 963267-0,CITRICS CL,AVOPRIME,MSC ASDA,2017-12-29,3.9,8.8,5.0,STARCOOL,2016-12-09,614,5480467950,1-xxx,10148,SAN CARLOS,120,120,2016-11-30,0,0,0,0,5,0,1,0,1,1,0,0,2
615,Lucas,MANDARINS,2017-01-05,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-01-10,3.8,,4.4,STARCOOL,2016-12-16,615,5480465748,1-xxx,9951,SAN CARLOS,120,120,2017-12-10,1,0,2,0,0,0,0,0,0,0,0,1,2
616,Sarah,AVOCADOS,2017-01-05,BMOU 961339-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,4.0,6.3,5.1,STARCOOL,2016-12-09,616,5480475292,18,9951,SAN CARLOS,120,120,2016-12-12,0,0,1,0,0,0,0,0,3,0,0,2,2
617,Jost,MANDARINS,2017-01-05,BMOU963885-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-09,3.9,7.1,4.6,,2016-12-16,617,5480475304,16,9951,SAN CARLOS,120,120,2017-12-15,0,0,0,0,2,0,1,2,6,0,0,1,2
618,Sarah,AVOCADOS,2017-01-05,BMOU960422-0,AGRICOLA SUR SA,FRUITS EXOTICS,SANTA CATALINA,2017-12-28,3.9,8.3,3.8,STARCOOL,2016-12-09,618,5480467776,14,9951,SAN CARLOS,120,120,2016-12-13,0,1,0,0,0,1,0,0,1,0,0,0,2
619,Killian,MANDARINS,2017-01-05,SUDU233321-1,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-28,8.6,8.6,5.1,STARCOOL,2017-12-25,619,5480469214,18,9951,LAS ROSAS,120,120,2016-12-12,0,0,0,0,2,0,1,0,3,0,0,0,2
620,Raul,MANDARINS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2018-01-16,3.8,7.4,5.2,STARCOOL,2016-12-09,620,5480462082,7,10333,LAS ROSAS,120,120,2016-12-06,0,0,2,0,0,0,1,0,1,1,0,2,2
621,Jost,MANDARINS,2017-01-05,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.9,8.8,5.1,STARCOOL,2017-12-25,621,F542697,22,9951,SAN CARLOS,120,120,2016-12-06,0,0,0,0,0,0,1,0,3,1,0,0,2
622,Raul,MANDARINS,2017-01-05,BMOU963131-2,AGRICOLA SUR SA,FRUITS EXOTICS,SAN CLEMENTE,2017-01-17,4.4,6.3,5.5,,2018-12-23,622,5480469214,18,10011,LAS ROSAS,120,120,2016-12-13,0,0,1,0,1,0,1,0,1,1,0,3,2
623,Lucas,AVOCADOS,2017-01-05,MSCU654560-2,CITRICS CL,MMS,SANTA ANA,2017-01-10,3.8,7.9,5.4,XTENDFRESH,2016-12-16,623,27452,14,9951,SAN CARLOS,120,120,2018-12-13,0,0,1,0,0,0,0,3,3,0,1,0,2
624,Muayad,MANDARINS,2017-01-05,BMOU961097-9,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-10,4.4,7.9,,STARCOOL,2016-12-16,624,5480462087,18,10189,LP,120,120,2016-12-12,0,0,0,0,0,0,0,0,0,0,0,3,2
625,Jost,AVOCADOS,2017-01-05,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-09,8.6,7.1,5.1,STARCOOL,2017-12-23,625,5480467819,1-x,10398,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,0,0,3,0,0,1,1
626,Jost,MANDARINS,2017-01-05,MSCU225856-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,3.9,7.4,5.0,STARCOOL,2016-12-16,626,5480475304,12,9951,LP,120,120,2016-11-30,0,0,0,0,0,0,2,0,3,0,0,3,2
627,Muayad,MANDARINS,2017-01-05,MSCU267656-1,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ASDA,2017-01-10,4.6,8.0,5.5,,2016-12-16,627,5480488119,18,9951,SAN CARLOS,120,120,2017-12-10,0,0,0,0,0,0,0,0,6,0,0,6,4
628,Jost,MANDARINS,2017-01-05,BMOU 961339-2,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2018-01-19,4.4,,3.8,XTENDFRESH,2016-12-16,628,27459,9,9951,LAS ROSAS,120,120,2016-12-12,0,0,1,1,0,0,1,2,0,0,1,0,2
629,Arjun,AVO 4K,2017-01-05,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC ARTIC,2017-01-09,4.0,8.8,4.8,EXTRAFRESH,2017-12-22,629,5480488423,12,10605,SAN CARLOS,300,300,2016-12-13,0,0,1,0,3,0,0,0,1,1,0,0,2
630,Sarah,AVOCADOS,2017-01-05,SUDU931036-7,SJ EXPORT,EUROCITRICS,MSC CHLOE,2017-01-17,3.8,8.3,4.8,STARCOOL,2017-12-23,630,5480475294,1-x,10655,SAN CARLOS,120,120,2016-12-06,0,0,0,0,0,0,0,0,6,0,0,0,2
631,Sarah,MANDARINS,2017-01-05,BMOU 961339-2,CITRICS CL,MMS,MSC CHLOE,2017-01-10,3.9,8.6,5.0,STARCOOL,2016-12-16,631,5480467797,14,10458,LP,120,120,2017-12-13,0,0,0,0,0,0,0,0,0,0,0,0,2
632,Sarah,MANDARINS,2017-01-05,BMOU 961339-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.2,7.1,4.8,,2016-12-08,632,5480468502,16,9951,LAS ROSAS,120,120,2016-11-24,0,0,2,0,0,0,1,0,1,1,1,0,2
633,Emily,MANDARINS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,MMS,SANTA JULIA,2017-01-10,3.8,8.6,6.2,STARCOOL,2017-12-25,633,27452,1-x,10058,SAN CARLOS,120,120,2016-12-07,0,0,0,0,2,0,1,0,2,0,0,0,2
634,Emily,MANDARINS,2017-01-05,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,4.2,,6.2,XTENDFRESH,2016-12-16,634,5480474907,7,9951,AAA,120,120,2016-12-12,0,0,0,1,2,1,1,0,2,0,0,2,1
635,Arjun,AVOCADOS,2017-01-05,BMOU 961339-2,CITRICS CL,FRUITS EXOTICS,MSC ARTIC,2017-01-05,8.6,7.1,5.0,STARCOOL,2018-12-23,635,5480469214,26,10075,TRES MONTES,120,120,2016-11-24,0,0,0,0,2,0,1,0,2,0,1,0,2
636,Jost,MANDARINS,2017-01-05,HLBU 907075-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.4,7.9,3.8,,2016-12-16,636,27459,14,10194,AAA,120,120,2019-01-16,1,0,0,1,4,1,1,3,3,1,0,0,2
637,Killian,MANDARINS,2017-01-05,HLBU 907075-0,SJ EXPORT,MKVTRB,MSC CHLOE,2017-01-10,3.9,7.5,5.2,STARCOOL,2016-12-16,637,F544133,18,10469,AGRICOLA AA,120,120,2017-12-26,0,0,0,0,0,0,1,0,0,1,0,2,2
638,Sarah,MANDARINS,2017-01-05,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,3.8,,5.0,,2016-12-16,638,5480475300,18,10486,SAN CARLOS,120,120,2018-12-13,0,0,0,0,0,0,1,0,1,0,0,0,2
639,Sarah,AVO 4K,2017-01-05,SUDU296571-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-12-29,3.9,8.8,3.8,STARCOOL,2016-12-01,639,F548003,1-xx,10760,RCQ,300,300,2016-12-12,0,1,0,0,0,0,0,0,3,0,0,0,1
640,Lucas,AVO 4K,2017-01-05,MSCU654560-2,SOUTH CITRICS EXPORT,AVOPRIME,SANTA CATALINA,2017-01-05,4.6,7.1,6.2,STARCOOL,2016-12-16,640,5480469298,14,9951,RCQ,300,300,2017-12-13,0,0,0,1,0,0,0,0,2,0,0,0,1
641,Emily,AVOCADOS,2017-01-05,BMOU961097-9,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,4.8,8.8,5.2,STARCOOL,2016-12-01,641,5480475583,3,9951,SAN CARLOS,120,120,2016-11-29,0,0,0,0,0,0,1,0,3,0,0,0,2
642,Killian,AVOCADOS,2017-01-05,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.1,5.1,STARCOOL,2016-12-01,642,5480467950,16,10218,LAS ROSAS,120,120,2016-12-13,0,0,0,0,0,0,0,0,6,0,0,0,2
643,Arjun,MANDARINS,2017-01-05,BMOU 963197-1,SOUTH CITRICS EXPORT,MKVTRB,CMA CGM NIAGARA,2017-12-28,3.8,8.8,4.4,STARCOOL,2016-12-16,643,5480462087,12,10416,TRES MONTES,120,120,2016-12-13,0,1,0,0,0,1,1,0,1,0,1,2,2
644,Emily,AVOCADOS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-05,3.8,8.8,4.4,STARCOOL,2016-12-09,644,F548003,18,9951,SAN CARLOS,120,120,2016-12-13,0,0,0,0,5,1,1,0,6,0,0,0,2
645,Arjun,MANDARINS,2017-01-05,SUDU396415-5,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.9,8.9,,,2016-12-16,645,5480489019,3,10202,RCQ,120,120,2016-12-12,0,0,0,0,0,0,0,0,0,0,0,0,2
646,Emily,AVOCADOS,2017-01-05,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-01-10,4.8,7.1,6.2,STARCOOL,2016-12-08,646,27452,1-xx,10651,SAN CARLOS,120,120,2018-12-13,0,0,0,0,0,1,1,0,1,0,0,1,1
647,Jost,AVO 4K,2017-01-05,BMOU960422-0,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-29,3.8,7.6,4.8,,2016-12-01,647,5480475294,7,10445,SAN CARLOS,300,300,2017-12-13,0,0,0,0,0,1,0,0,6,0,0,1,2
648,Sarah,MANDARINS,2017-01-05,SUDU396415-5,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,3.7,6.3,5.5,STARCOOL,2016-12-16,648,F548003,18,10078,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,1,0,3,0,0,0,2
649,Killian,MANDARINS,2017-01-05,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-29,4.0,,5.1,STARCOOL,2016-12-16,649,5480475303,14,10779,SAN CARLOS,120,120,2019-01-16,0,0,0,0,0,0,1,0,3,0,0,0,2
650,Killian,MANDARINS,2017-01-05,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-12,4.4,7.0,3.8,XTENDFRESH,2016-12-16,650,5480475294,14,10192,RCQ,120,120,2016-12-12,0,0,1,0,0,0,1,0,0,0,1,2,2
651,Killian,AVOCADOS,2017-01-05,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-05,4.1,8.8,3.8,STARCOOL,2016-12-09,651,5480467776,14,10326,FRA,120,120,2016-12-07,0,0,0,0,0,0,0,0,3,0,0,2,2
652,Killian,AVOCADOS,2017-01-05,BMOU963131-2,SJ EXPORT,AVOPRIME,MSC CHLOE,2018-01-21,4.4,7.1,3.8,STARCOOL,2016-12-16,652,5480467819,16,9998,FRA,120,120,2016-12-07,0,0,0,0,0,0,1,0,6,0,0,2,2
653,Arjun,AVO 4K,2017-01-05,SUDU931036-7,SJ EXPORT,MMS,MSC CHLOE,2017-01-09,4.6,6.3,5.0,STARCOOL,2016-12-16,653,5480475298,12,10366,RCQ,300,300,2016-12-07,0,0,0,1,0,0,1,0,2,0,0,0,2
654,Sarah,AVOCADOS,2017-01-05,MSCU221156-5,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-21,3.9,8.0,4.8,STARCOOL,2019-01-26,654,5480475300,14,9951,SAN CARLOS,120,120,2016-12-06,0,0,0,1,1,0,1,0,1,1,0,7,2
655,Raul,AVO 4K,2017-01-05,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-01-10,3.9,8.9,5.0,STARCOOL,2016-12-01,655,5480462087,18,9970,LP,300,300,2016-12-07,0,0,1,0,0,0,0,0,1,0,0,1,2
656,Lucas,MANDARINS,2017-01-05,HLBU 907275-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SANTA ANA,2017-01-05,8.6,8.8,,STARCOOL,2016-12-08,656,5480488423,14,10618,SAN CARLOS,120,120,2017-12-02,0,0,2,0,0,0,1,3,3,1,0,1,2
657,Muayad,MANDARINS,2017-01-05,SUDU931036-7,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2018-01-16,3.8,8.3,3.8,STARCOOL,2016-12-16,657,5480462082,12,10344,RCQ,120,120,2016-11-29,0,0,1,0,0,1,0,0,2,1,0,3,2
658,Sarah,AVOCADOS,2017-01-05,BMOU960422-0,BIO CITRICS,FRUITS EXOTICS,MSC ASDA,2017-12-29,4.0,,,XTENDFRESH,2016-12-16,658,5480475291,14,10509,SAN CARLOS,120,120,2016-11-23,0,1,0,0,0,1,0,0,3,0,0,0,2
659,Sarah,AVOCADOS,2017-01-05,MSCU361476-7,BIO CITRICS,MMS,MSC CHLOE,2019-02-22,3.8,8.9,5.0,STARCOOL,2016-12-16,659,F548003,1-x,10345,SAN CARLOS,120,120,2016-12-06,0,0,1,0,2,0,1,0,1,0,1,0,2
660,Sarah,MANDARINS,2017-01-05,BMOU963131-2,CITRICS CL,MMS,MSC CHLOE,2017-01-10,8.6,,4.8,XTENDFRESH,2017-12-26,660,5480475292,14,10099,LP,120,120,2016-12-13,0,0,0,1,0,0,0,0,3,0,0,3,2
661,Killian,MANDARINS,2017-01-05,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-01-10,8.6,8.8,4.8,STARCOOL,2016-12-01,661,5480467815,18,10078,LP,120,120,2016-12-13,1,0,0,1,0,0,0,0,2,0,1,0,2
662,Emily,MANDARINS,2017-01-05,SUDU931477-9,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,8.6,7.1,,XTENDFRESH,2017-12-22,662,F542622,22,10333,AGRICOLA AA,120,120,2017-12-15,0,2,0,0,0,0,1,0,1,0,0,0,2
663,Emily,MANDARINS,2017-01-05,HLBU 907275-2,BIO CITRICS,FRUITS EXOTICS,SANTA CATALINA,2017-01-10,4.6,7.1,5.1,,2016-12-09,663,F548003,1-xxx,10290,TRES MONTES,120,120,2016-11-23,0,0,0,0,0,0,0,0,6,0,1,0,2
664,Killian,MANDARINS,2017-01-05,SUDU931477-9,CITRICS CL,EUROCITRICS,MSC CHLOE,2017-01-09,3.9,8.1,4.8,STARCOOL,2019-01-26,664,5480475304,18,9951,RCQ,120,120,2016-12-07,0,0,0,0,0,0,0,0,5,0,0,0,4
665,Arjun,MANDARINS,2017-01-05,SUDU962715-3,SJ EXPORT,FRUITS EXOTICS,MSC ANZU,2017-01-09,4.8,8.8,4.8,,2016-12-08,665,F548003,1-xx,9951,LAS ROSAS,120,120,2017-12-26,0,0,2,0,0,0,0,0,3,0,0,1,2
666,Raul,MANDARINS,2017-01-05,BMOU960422-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,4.3,8.0,4.4,XTENDFRESH,2017-12-20,666,F542622,14,10113,SAN CARLOS,120,120,2019-01-16,0,0,0,0,0,0,0,0,1,0,0,2,2
667,Sarah,AVO 4K,2017-01-05,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC CARIBEAN,2017-01-09,4.4,8.3,4.1,STARCOOL,2016-12-01,667,F548003,5,9951,AAA,300,300,2016-12-13,0,0,0,0,0,0,0,0,0,0,1,0,2
668,Lucas,MANDARINS,2017-01-05,BMOU963865-0,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-10,4.4,8.0,6.2,XTENDFRESH,2016-12-01,668,27459,18,10067,TRES MONTES,120,120,2016-12-12,0,0,0,2,0,0,0,0,1,0,0,0,2
669,Sarah,MANDARINS,2017-01-05,BMOU963885-2,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2019-02-22,3.8,,6.2,,2016-12-09,669,5480489019,14,9991,SAN CARLOS,120,120,2016-12-07,0,0,0,1,0,0,1,0,1,0,0,1,2
670,Jost,MANDARINS,2017-01-05,MSCU221156-5,SJ EXPORT,EUROCITRICS,MSC CHLOE,2017-01-05,3.8,8.8,,EXTRAFRESH,2016-12-08,670,F543123,5,10199,SAN CARLOS,120,120,2016-11-29,0,0,2,0,0,0,1,0,6,0,0,0,2
